id,politician_id,detail,date,status
1,10000001,รถเมล์ไฟฟ้าทั่วกรุง,2025-01-10,กำลังดำเนินการ
2,10000001,ลดค่าครองชีพ,2025-01-12,เงียบหาย
3,10000002,สวนสาธารณะทุกเขต,2025-02-01,ยังไม่เริ่ม
4,10000002,ทางเท้าดีทั่วกรุง,2025-02-05,กำลังดำเนินการ
5,10000003,แก้ฝุ่น PM2.5 เชียงใหม่,2025-01-20,เงียบหาย
6,10000003,ตลาดนัดชุมชน,2025-01-25,ยังไม่เริ่ม
7,10000004,ส่งเสริมท่องเที่ยวเมืองเหนือ,2025-02-10,กำลังดำเนินการ
8,10000004,ศูนย์เรียนรู้เยาวชน,2025-02-15,กำลังดำเนินการ
9,10000005,ประกันราคาพืชผล,2025-03-01,ยังไม่เริ่ม
10,10000005,ประมงยั่งยืน,2025-03-05,ยังไม่เริ่ม
11,10000006,เพิ่มกล้องวงจรปิดทั่วกรุง,2025-03-10,ยังไม่เริ่ม
12,10000007,กองทุนหมู่บ้านเพิ่มทุน,2025-03-12,กำลังดำเนินการ
13,10000008,รถไฟความเร็วสูงโคราช,2025-03-15,ยังไม่เริ่ม
14,10000009,แก้ปัญหาน้ำแล้งอีสาน,2025-03-18,เงียบหาย
15,10000010,ภูเก็ตเมืองท่องเที่ยวระดับโลก,2025-03-20,กำลังดำเนินการ
